country,iso_code,continent,year,population,gdp,gdp_per_capita,electricity_generation,renewables_share_energy,fossil_share_energy,solar_share_energy,wind_share_energy,hydro_share_energy,coal_share_energy,oil_share_energy,gas_share_energy,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,co2_per_capita,energy_per_gdp,clean_share_energy,decade
Algeria,DZA,Africa,1990,31198937.202455956,56628635704.23834,1815.082204139332,17.291952766226608,0.0,100.0,0.0,0.0,0.0,33.984616043233224,29.658814670419854,36.356569286346925,5.876603753979359,6.2867607884155605,5.128588223831689,0.0,0.0,0.0,0.2735301957197341,0.1,0.3035933976583246,0.0,1990s
Algeria,DZA,Africa,1991,31573324.448885422,58740883816.00643,1860.4592592428148,17.794739535264046,1.9419499556101936,98.0580500443898,0.0,0.0,1.3593649689271357,35.501918920522655,31.239586303313065,31.31654482055408,6.317474001927632,5.572697582261823,5.559003014568582,0.0,0.0,0.2418954555542068,0.1113533986935882,0.1,0.3033995172705819,1.3593649689271357,1990s
Algeria,DZA,Africa,1992,31952204.34227205,60931918782.34348,1906.9707407238848,18.140841239461693,0.0,100.0,0.0,0.0,0.0,38.36834081268126,26.957115815869027,34.674543371449715,6.960339793044094,6.290253863522981,4.890247582894619,0.0,0.0,0.0,0.0281433046352181,0.1,0.2960876803081559,0.0,1990s
Algeria,DZA,Africa,1993,32335630.79437932,63204679352.92489,1954.645009241982,18.431540935471453,2.519252763823788,97.4807472361762,0.0,0.0,1.7634769346766512,33.5324089374808,28.288977277891764,35.659361020803644,6.180539679961462,6.572569723876975,5.214094427200838,0.0,0.0,0.3250359731025242,0.0829414465175256,0.1,0.2860766662146007,1.7634769346766512,1990s
Algeria,DZA,Africa,1994,32723658.36391187,65562213892.78898,2003.5111344730317,19.80053010932963,0.0,100.0,0.0,0.0,0.0,35.38784389296307,29.258407132400944,35.35374897463598,7.00698068506872,7.000229710499613,5.7933197137612975,0.0,0.0,0.0,0.2875696011527462,0.1,0.2921826765402752,0.0,1990s
Algeria,DZA,Africa,1995,33116342.26427881,68007684470.99,2053.598912834857,19.775089010657076,0.0,100.0,0.0,0.0,0.0,36.85375339892181,28.28295181315107,34.86329478792712,7.287862538404844,6.894247576360356,5.592978895891872,0.0,0.0,0.0,0.1261758525781953,0.1,0.2849673798068419,0.0,1990s
Algeria,DZA,Africa,1996,33513738.37145016,70544371101.75792,2104.9388856557284,21.07970383321192,0.0,100.0,0.0,0.0,0.0,39.47993038446289,26.336697542572747,34.18337207296436,8.32225239860302,7.2057535931857615,5.551697841423137,0.0,0.0,0.0,0.0943410726520706,0.1,0.2859652313369679,0.0,1990s
Algeria,DZA,Africa,1997,33915903.23190756,73175676143.85349,2157.5623577971214,21.73055725638474,0.2401967291409045,99.7598032708591,0.0,0.0,0.1681377103986331,33.402517669619314,29.915387616529426,36.44189798471035,7.258553227270654,7.9190275068807985,6.500780434479356,0.0,0.0,0.0365372614277493,0.1392883682534586,0.1,0.277152728898373,0.1681377103986331,1990s
Algeria,DZA,Africa,1998,34322894.07069045,75905128864.01921,2211.501416742049,22.773560098989744,2.0860888937121462,97.91391110628786,0.0,0.0,1.4602622255985025,33.650825259182824,27.48222880182458,36.780857045280456,7.663490914206021,8.376310584130447,6.25868189272539,0.0,0.0,0.3325536955495201,0.3013449835583283,0.1,0.2757971935132762,1.4602622255985025,1990s
Algeria,DZA,Africa,1999,34734768.79953874,78736390170.64713,2266.7889521606003,23.1531572785731,0.0,100.0,0.0,0.0,0.0,34.801599001661074,29.31547947018716,35.88292152815177,8.057668952312914,8.308029257559946,6.787459068700241,0.0,0.0,0.0,0.083646129486944,0.1,0.2748363170805344,0.0,1990s
Algeria,DZA,Africa,2000,35151586.0251332,81673257524.01225,2323.458675964615,24.51062244113171,0.0,100.0,0.0,0.0,0.0,33.76921534849024,32.106139435189824,34.12464521631994,8.277044875401142,8.364162948347893,7.869414617382675,0.0,0.0,0.0,0.2761802673074377,0.1,0.2715970380469386,0.0,2000s
Algeria,DZA,Africa,2001,35573405.0574348,84719670029.6579,2381.5451428637302,25.38196611561756,1.022264434115945,98.97773556588406,0.0,0.0015135552006091,0.7145256152407351,37.61933251945663,26.47507428153463,34.8833287648928,9.54852623300998,8.854074687104566,6.7198943832237,0.0,0.0003841700681597,0.1813606495478113,0.1221508270281612,0.1,0.2716751969661691,0.7160391704413442,2000s
Algeria,DZA,Africa,2002,36000285.91812402,87879713721.76413,2441.083771435323,26.68410649922769,0.2265518555609716,99.77344814443904,0.0,0.0008935582286145,0.1579608081326499,32.81906617573458,29.71535811863765,37.23902385006681,8.757474570385027,9.936900783424626,7.929277807004171,0.0,0.0002384380293561,0.042150430269157,0.3046909500281878,0.1,0.2627983811938222,0.1588543663612644,2000s
Algeria,DZA,Africa,2003,36432289.34914151,91157627043.58594,2502.110865721206,27.40970323901851,0.0,100.0,0.0,0.0,0.0,34.46849751822431,28.102431828846093,37.4290706529296,9.447712880693745,10.259197191090571,7.702793167234196,0.0,0.0,0.0,0.2335334561023301,0.1,0.2591536596794259,0.0,2000s
Algeria,DZA,Africa,2004,36869476.82133121,94557806532.31168,2564.663637364236,28.637405182532884,0.8648511518952755,99.13514884810472,0.0,0.008269989356534,0.5996068137771189,34.32486557829522,31.93638669479694,32.873896575012566,9.82975083401616,9.41423096147315,9.145752458449522,0.0,0.002368310360583,0.1717118327634289,0.3556134008854955,0.1,0.25658282255569,0.6078768031336529,2000s
Algeria,DZA,Africa,2005,37311910.54318719,98084812715.96692,2628.780228298342,30.28125342992386,0.0,100.0,0.0,0.0,0.0,35.78099372096329,30.9931847023806,33.2258215766561,10.834933388390036,10.061195235801558,9.385124805732262,0.0,0.0,0.0,0.2532740899556364,0.1,0.2505358498052856,0.0,2000s
Algeria,DZA,Africa,2006,37759653.46970543,101743376230.27246,2694.4997340058003,32.3526833096684,1.200111782452555,98.79988821754743,0.0002006399402509,0.0277271878719889,0.8205287682482204,37.960514734544,32.07621083616567,28.763162646837777,12.28124511478703,9.30565492097626,10.37751490956622,6.491240446210551e-05,0.0089704892829013,0.2654630738560697,0.0355646974239339,0.1,0.2528286676631104,0.8484565960604602,2000s
