country,iso_code,continent,year,population,gdp,gdp_per_capita,electricity_generation,renewables_share_energy,fossil_share_energy,solar_share_energy,wind_share_energy,hydro_share_energy,coal_share_energy,oil_share_energy,gas_share_energy,coal_electricity,gas_electricity,oil_electricity,solar_electricity,wind_electricity,hydro_electricity,nuclear_electricity,co2_per_capita,energy_per_gdp
Iceland,ISL,Europe,1990,336179.9957908496,3813714548.4225416,11344.263775870824,0.4555027101650078,72.74507122951685,27.254928770483147,0.0,0.0,50.92154986066179,9.463857396070676,8.529532730572798,9.261538643839673,0.04310812692525347,0.04218655952566922,0.038852252752170496,0.0,0.0,0.2319490396733402,0.0005291448551757616,0.1,0.12242523668353565
Iceland,ISL,Europe,1991,337188.53577822214,3920784584.369503,11627.870370267592,0.4794370176448057,72.92868279896474,27.071317201035257,0.0,0.0,51.05007795927532,9.190620251671817,7.812034886120367,10.068662063243073,0.04406323563767489,0.048272893112746545,0.037453787075387275,0.0,0.0,0.2447529712732979,0.002792520608556204,0.1,0.11954665166224636
Iceland,ISL,Europe,1992,338200.1013855568,4030860611.575677,11918.567129524283,0.46992016616054905,74.23796388671819,25.76203611328181,0.0,0.0,51.96657472070273,8.289036260514207,8.483772764271425,8.989227088496175,0.038951852968516526,0.04224219087081031,0.039866959070547686,0.0,0.0,0.24420141427547215,0.005567751052711621,0.1,0.11638769532275854
Iceland,ISL,Europe,1993,339214.7016897134,4144027023.245662,12216.531307762387,0.495674477927751,76.49961922484114,23.50038077515886,0.0,0.0,53.5497334573888,8.670437202428488,7.186902429511245,7.6430411432191265,0.04297714433719091,0.037884604284454615,0.035623641096656715,0.0,0.0,0.2654323617466141,0.004908931128025615,0.1,0.11355787598286746
Iceland,ISL,Europe,1994,340232.3457947825,4260370581.923284,12521.944590456447,0.5129966915520496,79.51329539250713,20.486704607492868,0.0,0.0,55.65930677475499,6.367402953501425,5.601808277296356,8.517493376695086,0.0326645664892498,0.04369445922561074,0.02873709112961917,0.0,0.0,0.2855304022952989,0.0009079272155959533,0.1,0.111552090132011
Iceland,ISL,Europe,1995,341253.04283216683,4379980486.010779,12834.993205217857,0.5270107684396942,82.16055062525052,17.839449374749478,0.0,0.0,57.51238543767536,6.051804262568718,4.87135489758561,6.916290214595151,0.03189366014862957,0.036449594207457275,0.025672564879190597,0.0,0.0,0.3030964644430917,0.008455328945343779,0.1,0.11539462193855717
Iceland,ISL,Europe,1996,342276.8019606633,4502948438.155532,13155.868035348303,0.550896603154326,84.34649928374392,15.653500716256076,0.0,0.0,59.042549498620744,5.770281130922036,4.433316372859618,5.449903212474421,0.03178828274270452,0.030023331672720074,0.02442298930516821,0.0,0.0,0.32526339960361317,0.0036458119576360036,0.1,0.11187417525560368
Iceland,ISL,Europe,1997,343303.63236654527,4629368715.5567465,13484.764736232008,0.5546820295009963,86.36957451705106,13.630425482948937,0.0,0.0,60.45870216193574,4.525789791293253,4.31669997999123,4.787935711664454,0.025103742665294318,0.02655781897666336,0.023943959056484457,0.0,0.0,0.3353535561617879,0.007912481322157144,0.1,0.11503289761635203
Iceland,ISL,Europe,1998,344333.54326364485,4759338242.246001,13821.883854637807,0.5677052039868364,86.34626094133507,13.653739058664925,0.0,0.0,60.44238265893455,5.206073394458324,3.3807353965703504,5.066930267636251,0.02955514958371405,0.028765226811755137,0.019192610779354892,0.0,0.0,0.3431345517684086,0.0035692305272283626,0.1,0.11044195273098521
Iceland,ISL,Europe,1999,345366.54389343574,4892956663.397057,14167.430951003751,0.5821420383831837,87.39837531948974,12.601624680510255,0.0,0.0,61.178862723642816,4.033766483035662,3.581568659468717,4.986289538005876,0.023482250427961465,0.029027287556234835,0.020849816800324453,0.0,0.0,0.356147878519064,0.0018770737758561384,0.1,0.10991799242349676
Iceland,ISL,Europe,2000,346402.64352511603,5030326421.721929,14521.616724778843,0.5996833764784021,89.20535969434944,10.79464030565056,0.0,0.0,62.4437517860446,3.8889348533989607,3.2593504362344907,3.6463550160171083,0.023321295837908283,0.021866584878440974,0.01954578274727452,0.0,0.0,0.3744647991103448,0.0027337785578261,0.1,0.10736938223101666
Iceland,ISL,Europe,2001,347441.8514556913,5171552836.01177,14884.657142898313,0.6185252376937316,86.38087229229116,13.619127707708842,0.0,0.13125417545885096,60.37473268178261,4.8608077577606155,3.978006531021215,4.780313418927012,0.03006532273752419,0.029567444936923648,0.024604974351471135,0.0,0.0008118402007398054,0.37343295882695093,0.003998183407028972,0.1,0.10717289820820881
Iceland,ISL,Europe,2002,348484.17701005837,5316744181.8828,15256.773571470769,0.6694407294342356,91.11359831335687,8.886401686643126,0.0,0.37687154544226287,63.51570873754023,3.097009464096531,2.324901070714624,3.4644911518319708,0.020732642747095128,0.023192714838008496,0.015563834686416334,0.0,0.002522931622838761,0.4252000238779139,0.0006892394557431288,0.1,0.10505293150231146
Iceland,ISL,Europe,2003,349529.6295410885,5466011774.789159,15638.19291075754,0.6408379415335407,90.228845279489,9.771154720511007,0.0,0.7338228070826913,62.646515730684406,3.3375336656716312,2.99775528052012,3.435865774319255,0.021388182041079003,0.022018331502002962,0.019210753231898157,0.0,0.0047026149714123645,0.4014626418510037,0.009761494930376449,0.1,0.10250119899438857
Iceland,ISL,Europe,2004,350578.2184297117,5619470055.366363,16029.147733526475,0.6666989031225442,93.5587369209496,6.441263079050401,0.0,0.9802356956103895,64.80495085773744,2.0738482478058105,2.00798094233461,2.3594338889099804,0.013826323520547442,0.01573031985726443,0.013387186917454573,0.0,0.006535220630650108,0.4320538965376393,0.0005436948429845516,0.1,0.10500308855387142
Iceland,ISL,Europe,2005,351629.9530850008,5777236677.170773,16429.876426864637,0.680585874869233,91.83189833679202,8.168101663207977,0.0,1.572517254372722,63.1815667576935,2.7991203393542765,2.5564666273694736,2.8125146964842274,0.019050417650236948,0.019141577752892932,0.017398950761622508,0.0,0.010702330313142232,0.4300048188739368,0.005264132280096141,0.1,0.10134299450694041
Iceland,ISL,Europe,2006,352684.8429442558,5939432596.882341,16840.62333753625,0.7153638004847328,93.40209400787269,6.597905992127309,0.01827181333037931,1.6746842804580584,64.19639653985898,2.1468445562666525,2.009386982948062,2.441674452912595,0.015357748808208721,0.01746685516182035,0.014374427087662766,0.00013070993825767746,0.011980085114805169,0.45923778206178467,0.0013320469962655138,0.1,0.1032005061483251
Iceland,ISL,Europe,2007,353742.8974730885,6106182167.039812,17261.638920974656,0.7451603900829937,94.49454976685128,5.505450233148721,0.07335308336771842,2.60153150031951,64.27376562821483,1.8314269814621118,1.7196428886830464,1.954380363003563,0.013647068439148268,0.014563268336662778,0.01281409765734505,0.0005465981221607942,0.01938558227591282,0.47894264267623476,0.00013706557140522353,0.1,0.09817701197529148
Iceland,ISL,Europe,2008,354804.12616550777,6277613231.379453,17693.17989399902,0.7651720182999391,95.70775267580804,4.292247324191962,0.1588102625322586,2.8412003904633054,64.89541941596873,1.54296272520514,1.1854068122942167,1.563877786692605,0.011806319026067913,0.011966355224180223,0.009070401230696629,0.0012151716910855151,0.021740070371653823,0.49656159052937854,0.0049797348758943575,0.1,0.10089619058009087
Iceland,ISL,Europe,2009,355868.5385440042,6453857222.85043,18135.509391348995,0.762508556107074,93.90945663881195,6.090543361188054,0.263748753963735,3.180882408269151,63.32537783360533,2.246257631674849,1.7214748947470593,2.122810834766146,0.017127906633728845,0.016186614245059863,0.013126393363681575,0.0020111068155992747,0.024254500522757027,0.48286142416837313,0.0037208838135612985,0.1,0.09786319943904356
Iceland,ISL,Europe,2010,356936.1441596362,6635049264.381955,18588.897126132717,0.8395222071524943,94.05139983535867,5.948600164641334,0.46592600044058335,4.208949999043399,62.56356668511227,2.1804217058525515,1.7861269105157114,1.9820515482730714,0.018305124430205405,0.016639762904962274,0.014994932061706157,0.003911552242596126,0.03533506992991403,0.5252350359081771,0.0032782164809452364,0.1,0.0978761856015611
Iceland,ISL,Europe,2011,358006.9525921151,6821328272.479477,19053.619554286033,0.831280620861778,94.06297009670503,5.93702990329497,0.6292328868292975,4.762734127099248,62.06970215794353,2.061660728493452,1.766369416893334,2.108999757908184,0.017138186103883825,0.017531706281512547,0.014683486655463474,0.005230691048301072,0.03959168582174641,0.5159734054656094,0.0064024855784933785,0.1,0.0964237321140373
